name,url
Barista,https://swiggy.com/restaurants/barista-regal-cinema-building-connaught-place-delhi-21301
Daryaganj - By the inventors of Butter Chicken and Dal Makhani,https://swiggy.com/restaurants/daryaganj-by-the-inventors-of-butter-chicken-and-dal-makhani-connaught-place-delhi-337468
Dunkin',https://swiggy.com/restaurants/dunkin-k-g-marg-barakhamba-delhi-19989
Big Wong,https://swiggy.com/restaurants/big-wong-paschim-vihar-kirti-nagar-delhi-340558
CHAWLA'S JUNCTION,https://swiggy.com/restaurants/chawlas-junction-laxmi-nagar-krishna-nagar-delhi-320223
SHAKE SAHAB,https://swiggy.com/restaurants/shake-sahab-laxmi-nagar-shahdara-delhi-350959
Indian Culinaire ,https://swiggy.com/restaurants/indian-culinaire-bhikaji-cama-place-rama-krishna-puram-delhi-334609
SARDAR-JI-BAKHSH COFFEE & CO,https://swiggy.com/restaurants/sardar-ji-bakhsh-coffee-and-co-lajpat-nagar-delhi-351721
The Dap's Kitchen,https://swiggy.com/restaurants/the-daps-kitchen-safdarjung-enclave-delhi-366847
Goli Vada Pav No .1,https://swiggy.com/restaurants/goli-vada-pav-no-1-baldev-park-laxmi-nagar-delhi-386538
Dum Biryani By Kilos,https://swiggy.com/restaurants/dum-biryani-by-kilos-laxmi-nagar-delhi-482297
Vicky marinated momos,https://swiggy.com/restaurants/vicky-marinated-momos-hauz-khas-lajpat-nagar-delhi-123414
Zaika Muradabadi Chicken Restaurant,https://swiggy.com/restaurants/zaika-muradabadi-chicken-restaurant-lajpat-nagar-delhi-550950
Singh Special Kitchen,https://swiggy.com/restaurants/singh-special-kitchen-lajpat-nagar-delhi-542580
Karnataka Food Centre,https://swiggy.com/restaurants/karnataka-food-centre-r-k-puram-delhi-22710
The Pasta Project,https://swiggy.com/restaurants/the-pasta-project-lajpat-nagar-delhi-403821
Afghan Darbar Restaurant,https://swiggy.com/restaurants/afghan-darbar-restaurant-lajpat-nagar-delhi-536748
Baba's,https://swiggy.com/restaurants/babas-greater-kailash-2-lajpat-nagar-delhi-414526
Oriental Mom,https://swiggy.com/restaurants/oriental-mom-mayur-vihar-patparganj-delhi-213459
Spicy Centre,https://swiggy.com/restaurants/spicy-centre-mayur-vihar-vinod-nagar-north-delhi-255851
The Burger Project by Terra Food Co,https://swiggy.com/restaurants/the-burger-project-by-terra-food-co-lajpat-nagar-delhi-482965
Caterspoint,https://swiggy.com/restaurants/caterspoint-lajpat-nagar-delhi-402310
Pick up meals by Terra Food Co,https://swiggy.com/restaurants/pick-up-meals-by-terra-food-co-lajpat-nagar-delhi-482201
Moolchand Paratha (Moolchand Metro),https://swiggy.com/restaurants/moolchand-paratha-moolchand-metro-moolchand-meetro-station-lajpat-nagar-delhi-15449
Turk Tarzi,https://swiggy.com/restaurants/turk-tarzi-lajpat-nagar-delhi-454292
Fat Wrap Fat Roll,https://swiggy.com/restaurants/fat-wrap-fat-roll-lajpat-nagar-delhi-441826
The Salt Cafe Kitchen & Bar,https://swiggy.com/restaurants/the-salt-cafe-kitchen-and-bar-preet-vihar-nirman-vihar-delhi-16443
Greenit,https://swiggy.com/restaurants/greenit-south-extension-delhi-532321
Concept,https://swiggy.com/restaurants/concept-lajpat-nagar-delhi-156772
BAWARCHI,https://swiggy.com/restaurants/bawarchi-chanakya-puri-delhi-36923
Onlinecake.in,https://swiggy.com/restaurants/onlinecake-in-laxmi-nagar-delhi-438728
Chanakya Bar Be Que,https://swiggy.com/restaurants/chanakya-bar-be-que-south-campus-chanakyapuri-delhi-346200
Hishi Cafe,https://swiggy.com/restaurants/hishi-cafe-jangpura-delhi-54527
Sushiya,https://swiggy.com/restaurants/sushiya-laxmi-nagar-delhi-34882
The cakewell Bakery,https://swiggy.com/restaurants/the-cakewell-bakery-pillar-57-laxmi-nagar-delhi-44055
The Good Bowl,https://swiggy.com/restaurants/the-good-bowl-laxmi-nagar-shakarpur-khas-delhi-157799
Firangi Bake,https://swiggy.com/restaurants/firangi-bake-laxmi-nagar-shakarpur-shakarpur-khas-delhi-29855
If Pizza,https://swiggy.com/restaurants/if-pizza-ganesh-nagar-pandav-nagar-delhi-140916
Side Wok,https://swiggy.com/restaurants/side-wok-khan-market-lodhi-colony-delhi-87045
Carnatic Cafe,https://swiggy.com/restaurants/carnatic-cafe-khan-market-lodhi-colony-delhi-291872
Keventers - Milkshakes and Desserts,https://swiggy.com/restaurants/keventers-milkshakes-and-desserts-east-patel-nagar-delhi-241468
Subking,https://swiggy.com/restaurants/subking-rajinder-nagar-old-rajinder-nagar-rajinder-nagar-delhi-201862
