name,cuisine,location,rating,num_of_rating,price_for_two,url
NIC Natural Ice Creams,"Ice Cream, Desserts","Bagh, Karol Bagh",4.5,500+ ratings,₹ 120,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Cinnabon & Auntie Anne's,Bakery,"SHIVAJI STADIUM METRO, Connaught Place",4.5,50+ ratings,₹ 500,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Theobroma,"Bakery, Desserts","Connaught Place, Connaught Place",4.5,100+ ratings,₹ 800,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
CHINKY'S MOMOS-SHANGHAI FOODS,Fast Food,"Connaught Place, Connaught Place",4.4,20+ ratings,₹ 180,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Kwality Walls Frozen Dessert and Ice Cream Shop,"Desserts, Ice Cream","Karol Bagh, Connaught Place",4.5,20+ ratings,₹ 100,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Hotel Saravana Bhavan,South Indian,"Janpath Market, Connaught Place",4.5,1K+ ratings,₹ 550,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
McDonald's,"American, Fast Food","Delhi CP N-10, Connaught Place",4.4,100+ ratings,₹ 400,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Anardana Kitchen,Indian,"R k Puram, Sangam",4.4,50+ ratings,₹ 400,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Indian Shake House,"Opens next at 1:10 pm, todayBeverages, Snacks","Lajpat Nagar, Lajpat Nagar",4.4,20+ ratings,₹ 400,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Dahi Ke Sholay (INA),"Opens next at 10 am, tomorrowSnacks, Indian","South Extension, South Extension",4.4,50+ ratings,₹ 100,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Saladspoint,Salads,"Lajpat Nagar, Lajpat Nagar",4.4,100+ ratings,₹ 600,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Bihar Central,"Bihari, Desserts","Lajpat Nagar, Lajpat Nagar",4.4,100+ ratings,₹ 450,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Ramesh Namkeen Bhandar,North Indian,"Patel Nagar, Kirti Nagar",4.4,100+ ratings,₹ 300,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
For God's Cake,"Bakery, Desserts","Mayur Vihar, Mayur Vihar",4.4,20+ ratings,₹ 350,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Moets OH BAO,"Chinese, Thai","Defence Colony, Defence Colony",4.4,20+ ratings,₹ 1200,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Miso - The Asian Kitchen,"Asian, Japanese","Laxmi Nagar, Laxmi Nagar",4.4,20+ ratings,₹ 600,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
The waffle co.,"Desserts, Fast Food","Laxmi Nagar, Shakarpur Khas",4.4,100+ ratings,₹ 220,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Slay Coffee,"Beverages, Desserts","Near Metro Station, Shakarpur Khas",4.4,100+ ratings,₹ 200,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Mamagoto,"Chinese, Asian","Khan Market, Rabindra Nagar",4.4,100+ ratings,₹ 1100,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Bhaja Govindam,"South Indian, North Indian","Daryaganj, Connought Place",4.4,50+ ratings,₹ 600,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Cheesecake & co.,"Bakery, Desserts","Laxmi Nagar, Connaught Place",4.4,50+ ratings,₹ 300,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
FaYian,Chinese,"Connaught Place, Connaught Place",4.4,20+ ratings,₹ 600,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Dhaba Food,Indian,"Connaught Place, Barakhamba",4.4,100+ ratings,₹ 200,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Chili's American Grill & Bar,"American, Mexican","Connaught place, Connaught Place",4.4,100+ ratings,₹ 900,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Louis Burger,American,"Connaught Place, Connaught Place",4.4,100+ ratings,₹ 600,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Bistro 57,Beverages,"Connaught Place, Connaught Place",4.4,100+ ratings,₹ 300,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
High on desserts,"Opens next at 1:30 pm, todayDesserts, Beverages","Connaught Place, Connaught Place",4.4,100+ ratings,₹ 120,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Barista,"Beverages, Snacks","Regal Cinema Building, Connaught Place",4.3,20+ ratings,₹ 350,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Daryaganj - By the inventors of Butter Chicken and Dal Makhani,"Indian, North Indian","Connaught Place, Connaught Place",4.4,50+ ratings,₹ 1500,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Dunkin',"Beverages, Fast Food","K.G.Marg, Barakhamba",4.4,100+ ratings,₹ 250,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Big Wong,"Chinese, Japanese","Paschim Vihar, Kirti Nagar",4.3,20+ ratings,₹ 900,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
CHAWLA'S JUNCTION,"Indian, Beverages","Laxmi Nagar, Krishna Nagar",4.3,20+ ratings,₹ 300,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
SHAKE SAHAB,"Beverages, Desserts","Laxmi Nagar, Shahdara",4.3,20+ ratings,₹ 200,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Indian Culinaire ,"North Indian, Chinese","Bhikaji Cama Place, Rama Krishna Puram",4.2,20+ ratings,₹ 200,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
SARDAR-JI-BAKHSH COFFEE & CO,"Snacks, Beverages","Lajpat Nagar, Lajpat Nagar",4.3,20+ ratings,₹ 400,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
The Dap's Kitchen,"Opens next at 2 pm, todayPizzas, Pastas","Safdarjung Enclave, Safdarjung Enclave",4.3,20+ ratings,₹ 500,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Goli Vada Pav No .1,"Maharashtrian, North Indian","Baldev Park, Laxmi Nagar",4.3,20+ ratings,₹ 100,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Dum Biryani By Kilos,Biryani,"Laxmi Nagar, Laxmi Nagar",4.3,20+ ratings,₹ 150,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Vicky marinated momos,"Opens next at 1:30 pm, todayChinese","HAUZ KHAS, Lajpat Nagar",4.3,100+ ratings,₹ 160,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Zaika Muradabadi Chicken Restaurant,"Biryani, Fast Food","Lajpat Nagar, Lajpat Nagar",4.3,20+ ratings,₹ 250,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Singh Special Kitchen,"Opens next at 3 pm, todayNorth Indian, Indian","Lajpat Nagar, Lajpat Nagar",4.3,100+ ratings,₹ 300,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Karnataka Food Centre,"South Indian, Indian","R K Puram, R.K. Puram",4.3,500+ ratings,₹ 500,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
The Pasta Project,"Pastas, Italian","Lajpat Nagar, Lajpat Nagar",4.3,50+ ratings,₹ 450,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Afghan Darbar Restaurant,"North Indian, Kebabs","Lajpat Nagar, Lajpat Nagar",4.3,20+ ratings,₹ 400,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Baba's,North Indian,"Greater Kailash 2, Lajpat Nagar",4.3,50+ ratings,₹ 800,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Oriental Mom,"Asian, Chinese","Mayur Vihar, Patparganj",4.3,100+ ratings,₹ 600,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Spicy Centre,Chinese,"Mayur Vihar, Vinod Nagar North",4.3,20+ ratings,₹ 150,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
The Burger Project by Terra Food Co,"American, Fast Food","Lajpat Nagar, Lajpat Nagar",4.3,20+ ratings,₹ 600,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Caterspoint,"Italian, Indian","Lajpat Nagar, Lajpat Nagar",4.3,500+ ratings,₹ 600,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Pick up meals by Terra Food Co,"Continental, Salads","Lajpat Nagar, Lajpat Nagar",4.3,100+ ratings,₹ 400,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Moolchand Paratha (Moolchand Metro),"North Indian, Snacks","Moolchand Meetro Station, Lajpat Nagar",4.3,1K+ ratings,₹ 200,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Turk Tarzi,"Biryani, Desserts","Lajpat Nagar, Lajpat Nagar",4.3,50+ ratings,₹ 600,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Fat Wrap Fat Roll,"Snacks, Beverages","Lajpat Nagar, Lajpat Nagar",4.3,20+ ratings,₹ 400,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
The Salt Cafe Kitchen & Bar,"North Indian, Chinese","Preet Vihar, Nirman Vihar",4.3,100+ ratings,₹ 1000,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Greenit,"Healthy Food, Salads","South Extension, South Extension",4.3,500+ ratings,₹ 400,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Concept,"North Indian, Fast Food","Lajpat Nagar, Lajpat Nagar",4.3,1K+ ratings,₹ 300,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
BAWARCHI,"Indian, Mughlai","Chanakya Puri, Chanakya Puri",4.3,20+ ratings,₹ 400,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Onlinecake.in,Bakery,"Laxmi Nagar, Laxmi Nagar",4.3,20+ ratings,₹ 500,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Chanakya Bar Be Que,"Indian, Seafood","South Campus, Chanakyapuri",4.3,20+ ratings,₹ 600,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Hishi Cafe,"Snacks, American","Jangpura, Jangpura",4.3,1K+ ratings,₹ 200,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Sushiya,Japanese,"Laxmi Nagar, Laxmi Nagar",4.3,100+ ratings,₹ 1200,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
The cakewell Bakery,"Bakery, Desserts","Pillar 57, Laxmi Nagar",4.3,500+ ratings,₹ 400,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
The Good Bowl,"North Indian, Punjabi","Laxmi Nagar, Shakarpur Khas",4.3,100+ ratings,₹ 400,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Firangi Bake,"Restaurant ClosedItalian, Mexican","Laxmi nagar shakarpur, Shakarpur Khas",4.3,50+ ratings,₹ 400,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
If Pizza,"Pizzas, Pastas","GANESH NAGAR, Pandav Nagar",4.3,100+ ratings,₹ 200,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Side Wok,"Asian, Japanese","Khan Market, Lodhi Colony",4.3,50+ ratings,₹ 800,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Carnatic Cafe,South Indian,"Khan Market, Lodhi Colony",4.3,100+ ratings,₹ 400,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Keventers - Milkshakes and Desserts,"Beverages, Ice Cream","East patel nagar, Patel Nagar",4.3,500+ ratings,₹ 300,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Subking,American,"Rajinder Nagar, Old Rajinder Nagar, Rajinder Nagar",4.3,500+ ratings,₹ 300,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Blue Tokai Coffee Roasters,"Healthy Food, Pastas","Khan Market, Khan Market",4.3,50+ ratings,₹ 500,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Choko La,"Bakery, Desserts","Khan Market, Rabindra Nagar",4.3,20+ ratings,₹ 300,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Yum Yum Cha,Japanese,"Khan Market, Rabindra Nagar",4.3,50+ ratings,₹ 1800,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
L' Opera,"Bakery, Desserts","Khan Market, Khan Market",4.3,20+ ratings,₹ 600,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
La Vie Pizzeria,Italian,"Khan Market, Khan Market",4.3,20+ ratings,₹ 800,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Camdin Patisserie and Boulangerie,"Bakery, Desserts","Rajinder place, Old Rajinder Nagar, Rajinder Nagar",4.3,100+ ratings,₹ 500,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Kings Kulfi,"Opens next at 12 noon, tomorrowIce Cream, Desserts","Rajinder Nagar, Rajinder Nagar",4.3,100+ ratings,₹ 100,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Mehtas (Old Delhi Original),"Street Food, Desserts","Daryaganj, Daryaganj",4.3,50+ ratings,₹ 150,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Giani's,"Ice Cream, Desserts","Pandara Road Market, Pandara Road",4.3,20+ ratings,₹ 200,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
BITTU KI BIRYANI,Biryani,"Karol Bagh, Karol Bagh",4.3,20+ ratings,₹ 225,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Kaleva,"North Indian, Chinese","Gole Market, Connaught Place, Delhi",4.3,100+ ratings,₹ 300,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
WAGH BAKRI TEA LOUNGE,"Opens next at 8 am, tomorrowBeverages","Connaught Place, Connaught Place",4.3,20+ ratings,₹ 500,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Minar Restaurant,Indian,"Connaught Place, Connaught Place",4.2,20+ ratings,₹ 1200,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Bijoli Grill,"North Indian, Chinese","Banga Bhawan, Mandi House",4.2,50+ ratings,₹ 500,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Cream Stone Ice Cream,"Opens next at 0 am, tomorrowIce Cream, Desserts","Paschim Vihar, Barakhamba",4.3,20+ ratings,₹ 200,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Baskin Robbins,"Desserts, Ice Cream","L-12 Connaught place, L-12 Connaught place",4.2,20+ ratings,₹ 250,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Bangla Sweet House,"Sweets, North Indian","Gole Market, Gole Market",4.3,100+ ratings,₹ 150,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Haldiram's,North Indian,"Connaught Place, Connaught Place",4.3,100+ ratings,₹ 300,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Ghee and Turmeric,"North Indian, Tandoor","Connaught Place 2 M Block, Connaught Place 2 M Block",4.3,100+ ratings,₹ 500,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Gulati (Pandara Road),Indian,"Khan Market, Pandara Road",4.3,100+ ratings,₹ 1000,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Burger King,American,"Inner Circle, Connaught Place",4.3,1K+ ratings,₹ 350,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Khan Chacha,"North Indian, Kebabs","CP D block, Connaught Place",4.3,100+ ratings,₹ 850,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Refections,"Juices, Beverages","Gautam Nagar, Gautam Nagar",4.2,100+ ratings,₹ 250,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Punjab Grill - Urban Punjabi Dhaba,"North Indian, Chinese","Bhikaji Cama Place, Rama Krishna Puram",4.2,50+ ratings,₹ 200,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Juicy Lucy Burgers,"American, Fast Food","Kirti Nagar, Kirti Nagar",4.2,500+ ratings,₹ 400,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Kulfi Bistro (Box Of Delights),"Ice Cream, Desserts","Lajpat Nagar, Hauz Khas",4.2,50+ ratings,₹ 150,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Flavours by ITC Hotels,"Indian, European","South Campus, Chanakyapuri",4.2,20+ ratings,₹ 1000,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Cake Palace,"Bakery, Desserts","South Extension 2, South Extension 2",4.2,500+ ratings,₹ 400,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Mazaar Restaurant,Afghani,"Lajpat Nagar, Lajpat Nagar",4.2,50+ ratings,₹ 800,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Bengal Sweet Corner,"Sweets, Snacks","Safdarjung Enclave, Safdarjung Enclave",4.2,1K+ ratings,₹ 350,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Rajinder Da Dhaba,"Opens next at 4 pm, todayNorth Indian, Mughlai","Hauz Khas, Safdarjung",4.2,1K+ ratings,₹ 400,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Nagpal Di Hatti (Gandhi Nagar),North Indian,"Geeta Colony, Geeta Colony",4.2,500+ ratings,₹ 200,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Parantha On Call,North Indian,"Laxmi Nagar, Laxmi Nagar",4.2,20+ ratings,₹ 300,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Hong Kong Express,"Chinese, Thai","DDA Market, Lajpat Nagar",4.2,100+ ratings,₹ 450,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
The Spicy No.1,"Biryani, Chinese","west patel nagar, west patel nagar",4.2,20+ ratings,₹ 150,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Khadak Singh Da Dhaba,"North Indian, Mughlai","South Extension, Defence Colony",4.1,50+ ratings,₹ 300,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Bombay Bhelpuri,Street Food,"South Extension, South Extension I",4.2,100+ ratings,₹ 100,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
GUPTA'S VEGETARIAN PARADISE,"Chinese, North Indian","South Extension, South Extension",4.2,50+ ratings,₹ 250,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Relax Restaurant,"North Indian, Chinese","Lajpat Nagar Market, Lajpat Nagar",4.2,100+ ratings,₹ 400,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
AZUKI - Soulful Asian Experience,Asian,"South Extension, South Extension",4.2,100+ ratings,₹ 300,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
MoonMoon - Juicy Crustwiches,"American, Snacks","Lajpat Nagar, Lajpat Nagar",4.2,100+ ratings,₹ 300,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Badmash Biryani,"Biryani, North Indian","South Extension, South Extension",4.2,50+ ratings,₹ 300,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Bengali Sweet Center,"North Indian, South Indian","South Extension, South Extension I",4.2,500+ ratings,₹ 450,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
ANNA DOSA SOUTH INDIAN,"South Indian, North Indian","Lajpat Nagar, Lajpat Nagar",4.2,100+ ratings,₹ 200,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Shack Foods,"Fast Food, Continental","Kotla Mubarakpur, South Extension I",4.2,100+ ratings,₹ 250,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Rolls Mania,"North Indian, Beverages","Laxmi Nagar, Laxmi Nagar",4.2,50+ ratings,₹ 200,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
Moets Curry Leaf,"Mughlai, North Indian","Defence Colony, Defence Colony",4.2,100+ ratings,₹ 1200,https://swiggy.com/restaurants/dd-food-house-laxmi-nagar-delhi-444328
